
527980126,Wed Mar 24 07:19:29 +0000 2021,昨日の今日で体調がボロボロすぎる(頭痛が治らん)
2421404942,Wed Mar 24 06:16:13 +0000 2021,昼間に胃痛でメシ抜きだから腹減ってきた
1369500130542424064,Wed Mar 24 07:22:54 +0000 2021,バイトの面接のためスーツを着たが成金新卒のコスプレ感バリバリでしんどい
16345068,Wed Mar 24 07:14:37 +0000 2021,ぬわあああ赤子が発熱じゃああああ保育園へいそげえええええ
1114064096293294080,Wed Mar 24 07:23:37 +0000 2021,これから塾なのに頭痛すぎてやばい
634407273,Wed Mar 24 06:11:32 +0000 2021,全身に発疹出て痒すぎてやばい
1344171210985205763,Wed Mar 24 06:54:20 +0000 2021,まずいねーみつくり小説のファイル開けただけでも動悸がするわ……
1331644477048406016,Wed Mar 24 06:58:33 +0000 2021,すっごい下痢したわぁ〜もうやだ〜急激にくるのほんとよしこさん
1136737446,Wed Mar 24 04:55:26 +0000 2021,私「エリザさん、アップルパイ謝謝です!」エリザ「先生よりも甘いわw」私「私は涙に濡れた苦い男ですよ。リンゴはそう言えば、下痢、リマウチによる関節痛、肝機能促進、利尿、殺菌、強壮、抗コレステロール、消化促進の作用があるんですよ」
1215293165990580226,Wed Mar 24 07:23:52 +0000 2021,はやく頭痛治らないかなー薬飲んだのに効かないなー
1446669480,Wed Mar 24 02:21:31 +0000 2021,びょーいん来たけど案の定ホネや関節には異常なしパターンや。毎日あちこちの指の関節が痛いっちゅーに。
2895676190,Wed Mar 24 07:09:52 +0000 2021,昨天緊急看了一下山河令33、34因為36就完結了，後面還有個小彩蛋34超虐害我夢到周子舒有夠慘病到大吐血劇裡面都是嘴角掛一條血跡我夢到的是像以前看過的醫療劇那種內臟大出血的狂吐甚至夢裡還出現了馬賽克...
48566144,Wed Mar 24 06:59:53 +0000 2021,すごく…わかる…（吐血＞RT
1252675161506983938,Wed Mar 24 06:21:45 +0000 2021,100万円払ったらもう胃痛になる事は無くなりますって言われたら絶対払う
1143148437161951232,Wed Mar 24 06:45:06 +0000 2021,今日も元気に蹴られているので、ぼちぼち家事しながら休み片付けては休みしています。少し動いただけで動悸息切れ吐気出るんだもの( ´꒳` ;):ギリギリまで働いてる人本当に……強いですね……尊敬する……
1356439665423785984,Wed Mar 24 07:24:59 +0000 2021,本当にしんどいのでやる気のある年長さんにお風呂掃除お願いしてそのまま妹と一緒にお風呂入ってもらった。電気水道代…😇
1329361130242797568,Wed Mar 24 07:23:18 +0000 2021,一ヶ月、鼻づまりで眠れない状態で、鎮痛剤を常に飲まないと起き上がれない痛みで。頭痛はデフォね。たまに裏切られた気持ちにされながら、ダメ押しで追い詰められちゃって、無理して起き上がる日々を経験してから、入院。
228026486,Wed Mar 24 06:58:18 +0000 2021,なんかめまいがするから、今の満腹度は10%を割ってる。
3694729392,Wed Mar 24 07:19:40 +0000 2021,充血やばい…
